Datum,Wassertemperatur,pH-Wert,Sauerstoffgehalt
2022-06-01 02:33,18.02,8.03,10.30
2022-06-01 03:03,17.98,8.03,9.12
2022-06-01 05:03,17.78,8.07,9.38
2022-06-01 05:48,17.71,8.01,8.02
2022-06-01 06:33,17.65,8.02,7.81
2022-06-01 07:03,17.60,8.02,7.10
2022-06-01 07:33,17.59,8.11,9.12
2022-06-01 08:03,17.56,8.15,9.57
2022-06-01 08:18,17.55,8.16,9.84
2022-06-01 08:48,17.57,8.27,9.34
2022-06-01 09:03,17.57,8.26,8.96
2022-06-01 09:18,17.67,8.20,8.33
2022-06-01 10:03,17.75,8.40,10.19
2022-06-01 10:48,17.75,8.46,10.54
2022-06-01 11:03,17.78,8.47,10.66
2022-06-01 11:18,17.81,8.48,10.66
2022-06-01 11:33,17.91,8.49,10.68
2022-06-01 12:03,18.02,8.50,10.80
2022-06-01 12:18,18.09,8.50,10.88
2022-06-01 12:48,18.17,8.51,11.08
2022-06-01 13:33,18.35,8.51,10.81
2022-06-01 13:48,18.33,8.51,10.97
2022-06-01 14:18,18.34,8.51,10.97
2022-06-01 15:03,18.31,8.52,10.83
2022-06-01 15:18,18.29,8.50,10.53
2022-06-01 19:03,18.37,8.44,8.94
2022-06-01 20:03,18.36,8.37,6.64
2022-06-01 20:18,18.32,8.35,6.07
2022-06-01 20:33,18.34,8.28,8.65
2022-06-01 20:48,18.33,8.25,7.60
2022-06-01 21:03,18.32,8.25,8.15
2022-06-01 21:33,18.30,8.22,6.57
2022-06-01 23:18,18.19,8.16,5.30
2022-06-01 23:48,18.14,8.12,5.58
2022-06-02 00:03,18.13,8.11,5.59
2022-06-02 00:33,18.09,8.11,5.89
2022-06-02 01:03,18.06,8.08,5.76
2022-06-02 01:18,18.04,8.07,5.46
2022-06-02 01:33,18.04,8.06,5.41
2022-06-02 01:48,18.01,8.06,5.51
2022-06-02 02:03,17.98,8.05,5.58
2022-06-02 02:18,17.95,8.06,4.14
2022-06-02 02:33,17.91,8.06,4.39
2022-06-02 03:33,17.82,8.00,3.35
2022-06-02 04:18,17.76,7.99,4.97
2022-06-02 04:33,17.75,7.97,4.51
2022-06-02 05:03,17.67,7.99,4.59
2022-06-02 05:33,17.61,7.99,4.52
2022-06-02 06:03,17.58,7.98,5.01
2022-06-02 06:18,17.57,7.96,4.91
2022-06-02 07:18,17.52,7.98,4.73
2022-06-02 09:33,17.62,7.99,6.90
2022-06-02 09:48,17.70,7.96,5.48
2022-06-02 10:03,17.86,8.03,7.82
2022-06-02 13:48,18.70,8.29,9.02
2022-06-02 15:03,19.22,8.32,9.16
2022-06-02 15:17,19.24,8.34,9.47
2022-06-02 15:33,19.32,8.30,9.18
2022-06-02 16:33,19.56,8.31,8.81
2022-06-02 17:48,19.66,8.36,9.40
2022-06-02 18:03,19.56,8.35,9.46
2022-06-02 18:18,19.52,8.34,8.44
2022-06-02 18:33,19.48,8.37,9.21
2022-06-02 18:48,19.02,8.38,9.48
2022-06-02 19:18,19.64,8.35,8.75
2022-06-02 20:33,19.44,8.26,8.75
2022-06-02 21:03,19.40,8.22,7.54
2022-06-02 21:33,19.33,8.14,7.50
2022-06-02 22:33,18.69,8.02,8.59
2022-06-02 23:33,18.90,7.97,7.72
2022-06-03 00:03,18.92,8.02,8.33
2022-06-03 01:33,18.67,8.06,8.08
2022-06-03 02:03,18.61,8.07,7.57
2022-06-03 02:18,18.59,8.07,7.72
2022-06-03 02:33,18.59,8.06,7.62
2022-06-03 02:48,18.56,8.04,7.56
2022-06-03 03:03,18.54,8.01,7.35
2022-06-03 03:33,18.50,8.00,7.52
2022-06-03 04:18,18.44,7.96,6.73
2022-06-03 04:48,18.39,7.94,6.14
2022-06-03 05:03,18.36,7.93,6.75
2022-06-03 05:33,18.31,7.92,5.65
2022-06-03 06:03,18.27,7.91,5.47
2022-06-03 06:33,18.23,7.90,6.30
2022-06-03 07:18,18.18,7.92,7.01
2022-06-03 07:48,18.14,8.03,6.76
2022-06-03 08:03,18.16,8.05,7.26
2022-06-03 08:18,18.15,8.10,7.71
2022-06-03 08:33,18.18,8.12,7.92
2022-06-03 09:33,18.30,8.14,8.04
2022-06-03 10:18,18.45,8.18,8.05
2022-06-03 11:33,18.69,8.20,8.53
2022-06-03 13:33,19.41,8.28,8.90
2022-06-03 13:48,19.43,8.25,8.43
2022-06-03 16:18,19.62,8.29,9.07
2022-06-03 16:48,19.80,8.34,9.49
2022-06-03 17:03,19.69,8.34,9.11
2022-06-03 17:48,20.13,8.31,8.97
2022-06-03 18:18,19.90,8.31,8.86
2022-06-03 18:48,19.96,8.29,8.54
2022-06-03 19:03,20.06,8.28,8.66
2022-06-03 19:33,19.94,8.31,9.21
2022-06-03 21:48,19.66,7.96,6.43
2022-06-03 22:03,19.68,7.95,6.14
2022-06-03 22:47,19.70,7.97,8.25
2022-06-03 23:18,19.65,7.98,8.18
2022-06-04 01:18,19.46,7.98,7.09
2022-06-04 02:17,19.37,8.00,6.44
2022-06-04 05:48,19.11,7.93,6.62
2022-06-04 10:48,19.11,8.15,7.09
2022-06-04 11:03,19.11,8.18,7.00
2022-06-04 13:33,19.41,8.30,7.77
2022-06-04 13:47,19.68,8.31,7.57
2022-06-04 14:48,19.93,8.30,7.28
2022-06-04 15:33,20.20,8.32,7.45
2022-06-04 15:47,20.23,8.33,7.34
2022-06-04 18:33,20.64,8.37,7.40
2022-06-04 19:03,20.61,8.36,7.55
2022-06-04 19:32,20.51,8.36,7.25
2022-06-04 19:48,20.48,8.36,7.23
2022-06-04 20:48,20.47,8.33,6.09
2022-06-04 21:03,20.48,8.33,6.86
2022-06-04 21:18,20.49,8.32,6.35
2022-06-04 21:48,20.47,8.12,5.51
2022-06-04 22:33,20.39,8.03,5.66
2022-06-04 22:48,20.34,8.03,5.93
2022-06-04 23:03,20.30,8.03,6.03
2022-06-05 00:03,20.19,8.03,5.80
2022-06-05 00:48,20.11,8.02,5.66
2022-06-05 01:03,20.08,8.01,4.91
2022-06-05 01:18,20.05,7.97,4.51
2022-06-05 01:48,20.03,7.94,5.04
2022-06-05 02:03,20.02,7.94,4.60
2022-06-05 03:03,19.94,7.91,4.34
2022-06-05 04:03,19.83,8.09,5.35
2022-06-05 06:18,19.72,7.97,5.23
2022-06-05 07:18,19.67,8.00,4.39
2022-06-05 08:03,19.64,8.02,4.50
2022-06-05 10:48,19.70,8.25,5.87
2022-06-05 11:03,19.73,8.28,6.03
2022-06-05 11:18,19.81,8.28,5.98
2022-06-05 11:48,19.96,8.30,6.30
2022-06-05 13:48,20.04,8.28,6.33
2022-06-05 14:33,20.04,8.28,5.91
2022-06-05 14:48,20.05,8.26,5.94
2022-06-05 15:03,20.01,8.30,6.31
2022-06-05 15:33,20.05,8.33,6.13
2022-06-05 16:03,20.10,8.32,6.35
2022-06-05 16:18,20.11,8.34,6.70
2022-06-05 16:33,20.15,8.33,6.47
2022-06-05 17:18,20.15,8.32,6.41
2022-06-05 18:18,20.18,8.30,6.10
2022-06-05 18:33,20.18,8.29,5.69
2022-06-05 19:32,20.18,8.29,5.43
2022-06-05 19:48,20.20,8.29,5.84
2022-06-05 20:02,20.21,8.30,5.76
2022-06-05 20:48,20.15,8.34,6.58
2022-06-05 22:03,20.10,8.35,6.63
2022-06-05 22:18,20.03,8.35,6.57
2022-06-05 23:18,19.93,8.32,6.12
2022-06-05 23:33,19.95,8.32,5.98
2022-06-05 23:48,19.91,8.31,6.06
2022-06-06 00:18,19.91,8.31,6.03
2022-06-06 00:48,19.83,8.32,6.10
2022-06-06 01:03,19.81,8.31,5.83
2022-06-06 01:18,19.80,8.31,6.15
2022-06-06 02:33,19.71,8.29,5.59
2022-06-06 03:48,19.60,8.29,5.67
2022-06-06 04:17,19.58,8.29,5.34
2022-06-06 05:03,19.53,8.26,4.99
2022-06-06 05:18,19.51,8.27,5.12
2022-06-06 05:33,19.51,8.26,4.87
2022-06-06 05:48,19.45,8.25,4.94
2022-06-06 07:33,19.36,8.20,4.12
2022-06-06 07:48,19.36,8.20,4.03
2022-06-06 08:03,19.35,8.20,3.88
2022-06-06 08:18,19.33,8.21,4.60
2022-06-06 08:33,19.32,8.22,4.58
2022-06-06 08:48,19.34,8.23,4.81
2022-06-06 09:03,19.35,8.23,4.72
2022-06-06 10:03,19.46,8.24,5.09
2022-06-06 10:18,19.48,8.25,5.25
2022-06-06 11:18,19.69,8.28,5.63
2022-06-06 11:48,19.75,8.29,5.71
2022-06-06 12:03,19.80,8.29,5.80
2022-06-06 12:18,19.83,8.29,5.91
2022-06-06 12:33,19.84,8.30,6.03
2022-06-06 12:48,19.91,8.31,5.68
2022-06-06 13:03,19.97,8.32,6.00
2022-06-06 13:33,20.07,8.33,6.23
2022-06-06 13:48,20.06,8.33,6.43
2022-06-06 14:33,20.07,8.32,6.39
2022-06-06 15:18,20.23,8.36,6.56
2022-06-06 15:33,20.31,8.36,6.61
2022-06-06 16:03,20.36,8.36,6.58
2022-06-06 16:18,20.40,8.37,6.87
2022-06-06 16:33,20.40,8.37,6.98
2022-06-06 17:18,20.44,8.38,6.99
2022-06-06 18:03,20.43,8.39,7.10
2022-06-06 18:18,20.43,8.39,7.11
2022-06-06 19:02,20.39,8.38,6.82
2022-06-06 19:18,20.37,8.39,7.00
2022-06-06 19:33,20.34,8.38,6.19
2022-06-06 19:48,20.35,8.37,6.54
2022-06-06 20:18,20.31,8.37,6.49
2022-06-06 20:33,20.29,8.37,6.80
2022-06-06 20:48,20.26,8.37,7.01
2022-06-06 21:03,20.23,8.36,6.66
